# { 't_start': 1764629061.984163, 'env_id': 'MiniGrid-Dynamic-Cardinal' }
r,l,t
0.9578125,12,0.6045730113983154
0.96484375,10,0.6069188117980957
0.940234375,17,0.611008882522583
0.96484375,10,0.6132819652557373
0.933203125,19,0.6303339004516602
0.947265625,15,0.63661789894104
0.9578125,12,0.639456033706665
0.954296875,13,0.6422739028930664
0.96484375,10,0.6503779888153076
0.93671875,18,0.6666908264160156
0.95078125,14,0.66975998878479
0.961328125,11,0.6730208396911621
0.95078125,14,0.6801197528839111
-1,2,0.6851017475128174
0.95078125,14,0.6915867328643799
0.94375,16,0.6954178810119629
0.954296875,13,0.6982889175415039
-1,15,0.7025830745697021
0.9578125,12,0.7056870460510254
0.96484375,10,0.7145779132843018
0.9578125,12,0.7172398567199707
0.961328125,11,0.7196168899536133
0.954296875,13,0.7230148315429688
0.961328125,11,0.726794958114624
-1,1,0.7287859916687012
0.954296875,13,0.7370648384094238
0.9578125,12,0.7397010326385498
0.954296875,13,0.7424399852752686
0.954296875,13,0.7451667785644531
0.961328125,11,0.7478280067443848
0.94375,16,0.7513070106506348
0.96484375,10,0.7534239292144775
0.954296875,13,0.756389856338501
0.9578125,12,0.7591638565063477
0.954296875,13,0.7629349231719971
0.954296875,13,0.7692689895629883
0.96484375,10,0.7725529670715332
0.947265625,15,0.7795610427856445
-1,10,0.7819199562072754
0.96484375,10,0.7841789722442627
0.94375,16,0.7886857986450195
0.947265625,15,0.7918558120727539
0.96484375,10,0.7943699359893799
0.961328125,11,0.7967779636383057
0.95078125,14,0.7997570037841797
0.961328125,11,0.8022868633270264
0.954296875,13,0.8052749633789062
-1,1,0.8057458400726318
0.96484375,10,0.8082947731018066
0.95078125,14,0.8121337890625
0.96484375,10,0.814180850982666
0.96484375,10,0.8163909912109375
0.9578125,12,0.8192689418792725
0.9578125,12,0.8217489719390869
-1,10,0.8247959613800049
0.9578125,12,0.8277037143707275
0.96484375,10,0.8302526473999023
0.9578125,12,0.8326740264892578
0.96484375,10,0.8347668647766113
-1,13,0.8377118110656738
0.961328125,11,0.8400468826293945
0.954296875,13,0.8427388668060303
0.96484375,10,0.84486985206604
0.9578125,12,0.8474550247192383
0.940234375,17,0.8512208461761475
0.961328125,11,0.8535959720611572
0.954296875,13,0.8584299087524414
0.96484375,10,0.8607118129730225
0.95078125,14,0.865515947341919
0.96484375,10,0.8676769733428955
0.961328125,11,0.8701438903808594
0.9578125,12,0.8728997707366943
0.961328125,11,0.8753139972686768
0.961328125,11,0.8776869773864746
0.961328125,11,0.8800849914550781
0.95078125,14,0.8835148811340332
0.95078125,14,0.8866188526153564
